,Gene,ImportanceScore,Pathway
345,PIK3AP1,0.1262990359199406,shuffled_hsa04151_1
346,NR4A1,0.144236633605738,shuffled_hsa04151_1
347,EIF4E,0.09776476041203874,shuffled_hsa04151_2
348,EIF4EBP1,0.5396018803548874,shuffled_hsa04151_2
349,EIF4B,0.1427101955424505,shuffled_hsa04151_2
350,RHEB,0.09777304403597185,shuffled_hsa04151_2
351,TSC2,0.5269957755475085,shuffled_hsa04151_2
352,TSC1,0.8180911816628409,shuffled_hsa04151_2
353,PDPK1,0.27608014499551176,shuffled_hsa04151_2
354,PTEN,0.857727076650313,shuffled_hsa04151_2
355,IRS1,0.18425598066025034,shuffled_hsa04151_2
356,GSK3B,0.19546903502047705,shuffled_hsa04151_2
357,MYC,0.09775783477763039,shuffled_hsa04151_2
358,CDKN1B,0.43709256260163254,shuffled_hsa04151_2
359,RBL2,0.0977578698752787,shuffled_hsa04151_2
360,BCL2L11,0.09777499228110172,shuffled_hsa04151_2
361,FOXO3,0.436046287666245,shuffled_hsa04151_2
362,BAD,0.09775037518858677,shuffled_hsa04151_2
363,MDM2,0.14096792993514415,shuffled_hsa04151_2
364,BCL2L1,0.19544991801891837,shuffled_hsa04151_2
365,TP53,0.0977594384145102,shuffled_hsa04151_2
366,CCND1,0.14500801296009586,shuffled_hsa04151_2
367,G6PC,0.1248600083213564,shuffled_hsa04151_2
368,GRB2,0.09776055636506696,shuffled_hsa04151_2
369,THEM4,0.2931523958448617,shuffled_hsa04151_2
370,CDC37,0.4885085699990154,shuffled_hsa04151_2
371,NOS3,0.19545924697384112,shuffled_hsa04151_2
372,DDIT4,0.23321607035230943,shuffled_hsa04151_2
373,STK11,0.09775220923971863,shuffled_hsa04151_2
374,CRTC2,0.10419884056856028,shuffled_hsa04151_2
375,CDKN1A,0.22256184031438747,shuffled_hsa04151_2
376,CASP9,0.12142599152372474,shuffled_hsa04151_2
377,RAF1,0.19549556363223203,shuffled_hsa04151_2
378,CD19,0.3386165672702346,shuffled_hsa04151_2
379,SYK,0.33861479726326504,shuffled_hsa04151_2
380,PTK2,0.24272347188645957,shuffled_hsa04151_2
381,RAC1,0.5445153125276173,shuffled_hsa04151_2
382,BRCA1,0.12140001745481305,shuffled_hsa04151_2
383,BCL2,0.13258520059159554,shuffled_hsa04151_2
384,MCL1,1.0,shuffled_hsa04151_2
385,MYB,0.48860367091254314,shuffled_hsa04151_2
386,PIK3AP1,0.09775367910752027,shuffled_hsa04151_2
387,NR4A1,0.09773858230638602,shuffled_hsa04151_2
388,EIF4E,0.0775801665941134,shuffled_hsa04151_3
389,EIF4EBP1,0.5142359598757588,shuffled_hsa04151_3
390,EIF4B,0.07754320818446626,shuffled_hsa04151_3
391,RHEB,0.09611364092402884,shuffled_hsa04151_3
392,TSC2,0.15493355009718038,shuffled_hsa04151_3
393,TSC1,0.20381178482681825,shuffled_hsa04151_3
394,PDPK1,1.0,shuffled_hsa04151_3
395,PTEN,0.3787906016454033,shuffled_hsa04151_3
396,IRS1,0.27777725782879464,shuffled_hsa04151_3
397,GSK3B,0.6472369929171335,shuffled_hsa04151_3
398,MYC,0.07748346604821095,shuffled_hsa04151_3
399,CDKN1B,0.15489052153219923,shuffled_hsa04151_3
400,RBL2,0.07758596964438337,shuffled_hsa04151_3
401,BCL2L11,0.0775312932177208,shuffled_hsa04151_3
402,FOXO3,0.45407074166724903,shuffled_hsa04151_3
403,BAD,0.17757197169380756,shuffled_hsa04151_3
