"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"185",1332.34452780998,0.439499884701445,1.83932891050153,0.244683200562236,0.0976759976403523,3,0.845641176827383,0.276015929546539,0.142023102135043
"186",970.627526256503,0.439499884701445,1.24855646434083,0.37114037145593,0.24059837003978,3,0.845641176827383,0.276015929546539,0.142023102135043
"187",201.975860765147,0.859837249799332,0.421365604682531,0.00763858042310872,0.0391770903095803,3,0.288752375449203,0.0658793183087213,0.118891079747423
"188",202.187339459572,0.859837249799332,0.410943380034118,0.00840734707093205,0.0651806810913134,3,0.288752375449203,0.0658793183087213,0.118891079747423
"189",26.2340408757454,0.859837249799332,0.0104222246484138,0.0160459274940408,0.104357771400894,3,0.288752375449203,0.0658793183087213,0.118891079747423
"196",53.310018498068,0.330796692780758,0.375687409367088,0,0,1,0.694841409690477,0,0
"197",113.614682514593,0.330796692780758,0.800667622006517,0,0,1,0.694841409690477,0,0
"198",60.3046640165248,0.330796692780758,0.424980212639429,0,0,1,0.694841409690477,0,0
"217",32.7950451391311,0.11378416497392,0.388077932594035,0.0860213971616304,0.0762588201188334,3,0.33873321981069,0.152390075719533,0.145004625137015
"218",23.6153656807924,0.11378416497392,0.260294944786033,0.0791349321700139,0.0815941613448734,3,0.33873321981069,0.152390075719533,0.145004625137015
"219",51.7498266619993,0.11378416497392,0.648372877380067,0.165156329331644,0.00533534122603996,3,0.33873321981069,0.152390075719533,0.145004625137015
"256",1822.02241933308,0.0651260584906439,6.5987990640991,0,0.240865737575991,2,3.42902569278767,0,0.129429732930817
"257",1952.7787294681,0.0651260584906439,7.08114093235299,0,0.0254565783930145,2,3.42902569278767,0,0.129429732930817
"258",135.240131973248,0.0651260584906439,0.482341868253891,0,0.215409159182976,2,3.42902569278767,0,0.129429732930817
"283",10.2229495493815,0.282240414817985,0,0.0781150784219937,0.0586593377217071,2,0,0.29598740220926,0.105938772222946
"284",56.0132960991221,0.282240414817985,0,0.492604972769721,0.140918226304996,2,0,0.29598740220926,0.105938772222946
"285",50.1215304577614,0.282240414817985,0,0.414489894347727,0.199577564026703,2,0,0.29598740220926,0.105938772222946
"295",133.228727906971,0.0623225695403977,0.975656336369007,0.064307165732961,0.121027902608745,3,1.17175348237804,0.0629455318401434,0.0575317497406692
"296",25.2369821383654,0.0623225695403977,0.181549997080803,0.0123099187198292,0.0892768254957996,3,1.17175348237804,0.0629455318401434,0.0575317497406692
"297",108.170621752257,0.0623225695403977,0.794106339288204,0.0766170844527903,0.0317510771129452,3,1.17175348237804,0.0629455318401434,0.0575317497406692
"361",37.3869415313422,0.103588226137072,0,0,1.12882054016109,1,0,0,0.517904039351986
"362",14.9732936823993,0.103588226137072,0,0,0.452087300278016,1,0,0,0.517904039351986
"363",22.4136478489429,0.103588226137072,0,0,0.67673323988307,1,0,0,0.517904039351986
"376",77.8839250030055,0.061732450259509,0.736394411743203,0.187157487654507,0.0468888482471757,3,0.868436527785059,0.208997549220633,0.0549718848250015
"377",138.215749198128,0.061732450259509,1.34863840607739,0.17191415053257,0.0319305068971492,3,0.868436527785059,0.208997549220633,0.0549718848250015
"378",69.4641971736704,0.061732450259509,0.612243994334184,0.359071638187077,0.0149583413500265,3,0.868436527785059,0.208997549220633,0.0549718848250015
"385",245.69342833443,0.762138807486073,0.433441037800591,0.00132744636380089,0.0568174832683379,3,0.39238744777476,0.167722533635108,0.0662136606080643
