,index,ImportanceScore,Pathway
379,NCF2,0.06204442640840458,metaNetwork
380,NCF4,0.0614710861139133,metaNetwork
381,RASSF5,0.09760814491166787,metaNetwork
382,VCL,0.1506514500025025,metaNetwork
383,MYL2,0.06247178858174686,metaNetwork
384,MYL5,0.061936836215994356,metaNetwork
385,MYLPF,0.062362769714998156,metaNetwork
386,ARHGAP35,0.12298122168785769,metaNetwork
387,ARHGAP5,0.06208821057942364,metaNetwork
388,MSN,0.2674735675275098,metaNetwork
389,RAPGEF3,0.2711364151070733,metaNetwork
390,WASF2,0.17183107926869068,metaNetwork
391,WASF1,0.15509472276408912,metaNetwork
392,WASL,0.06505038831695718,metaNetwork
393,ABI2,0.12120365503308725,metaNetwork
394,NCKAP1,0.1666191136246659,metaNetwork
395,BAIAP2,0.2596971871674547,metaNetwork
396,GSN,0.06230803302197562,metaNetwork
397,SLC9A1,0.25337529414873894,metaNetwork
398,GIT1,0.06157187115141332,metaNetwork
399,ENAH,0.06246052797146768,metaNetwork
400,DIAPH3,0.2327868331538042,metaNetwork
401,ARHGEF6,0.10680913679730362,metaNetwork
402,ACTR2,0.06250292623118968,metaNetwork
403,ACTR3,0.06169455248593451,metaNetwork
404,ARPC5,0.06244984433828529,metaNetwork
405,ARPC4,0.0604444099578513,metaNetwork
406,ARPC3,0.06299320514903897,metaNetwork
407,ARPC2,0.061197012921991326,metaNetwork
408,LIMK1,0.061836425031144365,metaNetwork
409,LIMK2,0.06085256634219531,metaNetwork
410,PIKFYVE,0.1505222437405774,metaNetwork
411,DIAPH1,0.06306528905856999,metaNetwork
412,DIAPH2,0.06051736208670821,metaNetwork
413,RDX,0.062125460104165725,metaNetwork
414,PPP1R12A,0.10738474418091525,metaNetwork
415,PPP1R12B,0.07127133788054217,metaNetwork
416,PPP1R12C,0.06304781646859912,metaNetwork
417,PAK4,0.08348753918243848,metaNetwork
418,ARHGEF7,0.08346542615454824,metaNetwork
419,ARHGEF1,0.06213981002022533,metaNetwork
420,IQGAP1,0.061389271344721316,metaNetwork
421,FGD1,0.06341888433753125,metaNetwork
422,FGD3,0.2114479556172034,metaNetwork
423,ITGAE,0.06446768712790575,metaNetwork
424,GNA13,0.07945992285952924,metaNetwork
