,Pathway,P-value,Contrast,-log10Pvalue
198,hsa05165,0.27424265553081717,"1% O2, CyA+ vs 1% O2, CyA-",0.5618649944010152
199,hsa04330,0.17562225896043482,"1% O2, CyA+ vs 1% O2, CyA-",0.7554204409865606
200,hsa04927,0.5843290649740424,"1% O2, CyA+ vs 1% O2, CyA-",0.23334251101318748
201,hsa01523,0.5142808115541962,"1% O2, CyA+ vs 1% O2, CyA-",0.2887996794346795
202,hsa05323,0.7922453691576299,"1% O2, CyA+ vs 1% O2, CyA-",0.10114029067368673
203,hsa00563,0.745616890851609,"1% O2, CyA+ vs 1% O2, CyA-",0.12748426224130793
204,hsa04917,0.5254510101189085,"1% O2, CyA+ vs 1% O2, CyA-",0.2794677687448177
205,hsa05135,0.44705350355066764,"1% O2, CyA+ vs 1% O2, CyA-",0.3496404972119185
206,hsa04612,0.4335985755759173,"1% O2, CyA+ vs 1% O2, CyA-",0.3629121531775457
207,hsa00330,0.7591480609570741,"1% O2, CyA+ vs 1% O2, CyA-",0.11967351292449689
208,hsa05016,0.21037277914762165,"1% O2, CyA+ vs 1% O2, CyA-",0.6770104557292465
209,hsa04141,0.36635696850650046,"1% O2, CyA+ vs 1% O2, CyA-",0.4360955432947927
210,hsa04979,0.5390744593119453,"1% O2, CyA+ vs 1% O2, CyA-",0.26835124402491406
211,hsa00670,0.687650879530466,"1% O2, CyA+ vs 1% O2, CyA-",0.16263199719465396
212,hsa00260,0.6671116643885603,"1% O2, CyA+ vs 1% O2, CyA-",0.17580146568035201
213,hsa04978,0.5028134502056157,"1% O2, CyA+ vs 1% O2, CyA-",0.2985931135000995
214,hsa04730,0.14964839950015468,"1% O2, CyA+ vs 1% O2, CyA-",0.8249279236080738
215,hsa04650,0.002364089164004283,"1% O2, CyA+ vs 1% O2, CyA-",2.6263361476280123
216,hsa04720,0.1455478255673036,"1% O2, CyA+ vs 1% O2, CyA-",0.8369942783816483
217,hsa00360,0.6725176670159069,"1% O2, CyA+ vs 1% O2, CyA-",0.17229630227464207
218,hsa05020,0.04483252212745256,"1% O2, CyA+ vs 1% O2, CyA-",1.3484068284948043
219,hsa00760,0.6306677507931623,"1% O2, CyA+ vs 1% O2, CyA-",0.2001993760950882
220,hsa05210,0.49977852106845566,"1% O2, CyA+ vs 1% O2, CyA-",0.3012224124390449
221,hsa03018,0.1710241502665521,"1% O2, CyA+ vs 1% O2, CyA-",0.7669425586900772
222,hsa00410,0.6956888237931216,"1% O2, CyA+ vs 1% O2, CyA-",0.1575849735058883
223,hsa00565,0.7614557248018542,"1% O2, CyA+ vs 1% O2, CyA-",0.1183553438489542
224,hsa04350,0.7231961772481854,"1% O2, CyA+ vs 1% O2, CyA-",0.14074387816931724
225,hsa05150,0.7324081787975638,"1% O2, CyA+ vs 1% O2, CyA-",0.13524681457949203
226,hsa00120,0.6985582239178683,"1% O2, CyA+ vs 1% O2, CyA-",0.1557973901619331
227,hsa04810,0.16022429103880664,"1% O2, CyA+ vs 1% O2, CyA-",0.7952716414079015
228,hsa05144,0.7231158150055559,"1% O2, CyA+ vs 1% O2, CyA-",0.14079214006405397
229,hsa04072,0.0299367971349568,"1% O2, CyA+ vs 1% O2, CyA-",1.5237946656169152
230,hsa00910,0.13322667870104266,"1% O2, CyA+ vs 1% O2, CyA-",0.8754087987957657
231,hsa00513,0.6697036714731802,"1% O2, CyA+ vs 1% O2, CyA-",0.1741173201527082
232,hsa05134,0.3107968301782351,"1% O2, CyA+ vs 1% O2, CyA-",0.5075234192247953
233,hsa04970,0.46212907340572573,"1% O2, CyA+ vs 1% O2, CyA-",0.33523670834238
234,hsa05171,0.5058742794431647,"1% O2, CyA+ vs 1% O2, CyA-",0.29595740119999214
235,hsa05017,0.06642801397197594,"1% O2, CyA+ vs 1% O2, CyA-",1.1776487316605913
236,hsa04976,0.49384345575198474,"1% O2, CyA+ vs 1% O2, CyA-",0.30641069698220985
237,hsa04060,0.9068502030166223,"1% O2, CyA+ vs 1% O2, CyA-",0.042464445438350734
238,hsa04925,0.024197212313880154,"1% O2, CyA+ vs 1% O2, CyA-",1.6162346648640156
239,hsa00280,0.5737048712555475,"1% O2, CyA+ vs 1% O2, CyA-",0.24131146256235117
240,hsa00380,0.6919109551993473,"1% O2, CyA+ vs 1% O2, CyA-",0.1599497930488273
241,hsa04662,0.18184930492988993,"1% O2, CyA+ vs 1% O2, CyA-",0.7402883545800707
242,hsa00970,0.7318271123822421,"1% O2, CyA+ vs 1% O2, CyA-",0.13559150501628275
243,hsa04936,0.42103544054403585,"1% O2, CyA+ vs 1% O2, CyA-",0.37568134600542674
244,hsa04923,0.638525729517688,"1% O2, CyA+ vs 1% O2, CyA-",0.1948215980678832
245,hsa05215,0.35123373807795133,"1% O2, CyA+ vs 1% O2, CyA-",0.4544037742085786
246,hsa05224,0.12522903652720369,"1% O2, CyA+ vs 1% O2, CyA-",0.9022949607305839
247,hsa04014,0.03603900953896768,"1% O2, CyA+ vs 1% O2, CyA-",1.4432271532554541
248,hsa04151,0.0521620890452464,"1% O2, CyA+ vs 1% O2, CyA-",1.2826450238203229
249,hsa05417,0.5904322181731728,"1% O2, CyA+ vs 1% O2, CyA-",0.22882995234852632
250,hsa04210,0.37675572332331075,"1% O2, CyA+ vs 1% O2, CyA-",0.42394014156448545
251,hsa04713,0.5229020192016767,"1% O2, CyA+ vs 1% O2, CyA-",0.2815796811260665
252,hsa05120,0.6754394416559353,"1% O2, CyA+ vs 1% O2, CyA-",0.17041358273910961
253,hsa00350,0.727506196757606,"1% O2, CyA+ vs 1% O2, CyA-",0.13816330308958458
254,hsa05322,0.3539455204443103,"1% O2, CyA+ vs 1% O2, CyA-",0.45106357975730427
255,hsa05163,0.6276109067414531,"1% O2, CyA+ vs 1% O2, CyA-",0.20230951776758907
256,hsa00030,0.6860804617370669,"1% O2, CyA+ vs 1% O2, CyA-",0.16362494837596495
257,hsa00230,0.7036831979160091,"1% O2, CyA+ vs 1% O2, CyA-",0.15262281864644023
258,hsa04211,0.08381738061745275,"1% O2, CyA+ vs 1% O2, CyA-",1.0766659154559017
259,hsa04611,0.59717153781926,"1% O2, CyA+ vs 1% O2, CyA-",0.22390089964528026
260,hsa04012,0.46366427400905874,"1% O2, CyA+ vs 1% O2, CyA-",0.3337963658218158
261,hsa04728,0.44249263293619934,"1% O2, CyA+ vs 1% O2, CyA-",0.35409395547867634
262,hsa05219,0.41342406199415765,"1% O2, CyA+ vs 1% O2, CyA-",0.38360425028450074
263,hsa00600,0.6210436409696455,"1% O2, CyA+ vs 1% O2, CyA-",0.2068778807149367
264,hsa04972,0.3719677397798649,"1% O2, CyA+ vs 1% O2, CyA-",0.429494724212523
265,hsa04360,0.06207424172276266,"1% O2, CyA+ vs 1% O2, CyA-",1.207088576930568
266,hsa04722,0.019716182912966625,"1% O2, CyA+ vs 1% O2, CyA-",1.7051771614179227
267,hsa00512,0.7101421772790637,"1% O2, CyA+ vs 1% O2, CyA-",0.148654692652495
268,hsa04723,0.7270874532246323,"1% O2, CyA+ vs 1% O2, CyA-",0.1384133495692032
269,hsa00601,0.6849510514665258,"1% O2, CyA+ vs 1% O2, CyA-",0.1643404633069147
270,hsa05204,0.710894889300572,"1% O2, CyA+ vs 1% O2, CyA-",0.1481946079500415
271,hsa04071,0.2536252263417504,"1% O2, CyA+ vs 1% O2, CyA-",0.5958075523827302
272,hsa04213,0.31084437313174484,"1% O2, CyA+ vs 1% O2, CyA-",0.5074569897722656
273,hsa04270,0.32501433615787156,"1% O2, CyA+ vs 1% O2, CyA-",0.48809748216900717
274,hsa04918,0.33454815667721716,"1% O2, CyA+ vs 1% O2, CyA-",0.47554135869179415
275,hsa04657,0.6774849437996638,"1% O2, CyA+ vs 1% O2, CyA-",0.16910035196260792
276,hsa00190,0.9203411174379961,"1% O2, CyA+ vs 1% O2, CyA-",0.03605117486844134
277,hsa04622,0.20642042930537013,"1% O2, CyA+ vs 1% O2, CyA-",0.6852473230548453
278,hsa00052,0.5939566539114985,"1% O2, CyA+ vs 1% O2, CyA-",0.22624524803890889
