Gene,Ramos_19O2_NoCyclo_1,Ramos_1O2_NoCyclo_3,Ramos_1O2_NoCyclo_2,Ramos_19O2_NoCyclo_3,Ramos_1O2_NoCyclo_1,Ramos_1O2_PlusCyclo_1,Ramos_1O2_PlusCyclo_3,Ramos_1O2_PlusCyclo_2,Ramos_19O2_NoCyclo_2
SDF4,6.540437767853305,6.401846817133334,6.397761855993887,6.489462683777377,6.422646024717292,6.626092208546665,6.642235338627254,6.539542250950596,6.384649039747638
B3GALT6,4.809247760347533,4.8102380007435235,4.78317121688834,4.910084969134612,4.881427664538793,5.117003962545449,5.088753498891948,4.9306523195942304,4.7637663796020355
C1QTNF12,0.2110068246467861,0.0,0.12365637892596801,0.0,0.24259639693927426,0.07326054505705015,0.13984756122247813,0.06813106173977744,0.06646422075930239
RP5-902P8.12,0.07381826514487805,0.06479389096339129,0.0,0.19100368589214858,0.06457938137046833,0.0,0.0,0.1331892163867052,0.0
UBE2J2,5.965225995319061,6.100495407018796,5.924487145628144,6.054127991269605,6.003970881860932,6.115707404268189,6.08589337460371,6.098187132110263,5.980481725118207
RP5-902P8.10,0.07381826514487805,0.0,0.06315263964659786,0.06651754206888319,0.06457938137046833,0.14297998896334413,0.0716176320150323,0.06813106173977744,0.0
SCNN1D,0.5058792594118426,0.4022293925522135,0.06315263964659786,0.19100368589214858,0.35013509675146937,0.7460486744018767,0.5440393171451262,0.0,0.6027598586104965
ACAP3,3.720242001816832,3.5823856085308234,3.1857205295423805,3.7803296423318113,3.450783610537363,3.6512666562717566,3.462861959151552,3.4796339934934783,3.6977050667364226
PUSL1,4.438587900502834,4.416125491484612,4.2195588233237284,4.421659824687231,4.318527913562917,4.506034829596375,4.532257136944974,4.349891855753968,4.338855524866094
INTS11,6.352092754666793,6.173009343489551,6.176434302528607,6.2582284184340775,6.270971697729672,6.16052193110606,6.1462284001993295,6.011085715519996,6.218302520360731
RP5-890O3.9,0.7505904993083942,0.7164176852366368,0.5335264007286191,0.6472965427335164,0.7928386649744501,0.7460486744018767,0.6877166086432192,0.5690798976154601,0.6468686779659605
CPTP,4.725839493029847,4.602249000117725,4.455574808003818,4.66647808750322,4.643205024391909,4.819872182436877,4.763395311439177,4.7375755621203215,4.68133517445361
TAS1R3,2.0712177513650523,1.741018473129156,1.8989914614480061,1.6431008761530832,1.6350020376624606,1.6725856289971017,2.10706261809224,1.8717151455436731,1.936903721630354
DVL1,4.7819773120075855,4.805506061970269,4.467295804792326,4.939222585005373,4.632593874112235,4.827832676909878,4.865155375920053,4.477508448773392,4.686627433151692
AURKAIP1,6.400413550199904,6.254258128773441,6.2169188841116,6.333598267801014,6.256358465150831,6.323285398577924,6.324463350245143,6.15998312008018,6.2869850939269085
CCNL2,6.077150707858443,6.035300955992126,5.609807762624509,6.228577284223761,5.870356751634803,6.086145120791963,6.003599614067913,5.80191614807489,5.990144749260382
