"CNV","MET","MRNA"
"SIVA1","CYP4A11","TIE1"
"ZBTB42","CYP21A2","ADRA2B"
"ZNF436","MAGEA2","KIAA1522"
"DOPEY2","TBX4","RBP7"
"KIF13A","MED24","ABCC3"
"ISL2","CSH1","GALT"
"TNFRSF1B","SNX33","GFAP"
"ATOH8","OLAH","BTBD9"
"ADAM12","PIP4K2A","ALK"
"WAC","PTHLH","UHRF2"
"RSPH1","STK38L","DNAJC6"
"TBKBP1","MDGA1","CD163L1"
"TBX21","PNMA3","CD300LG"
"CD163","RNF220","PPP1R9B"
"CD163L1","REG1A","TNNI3K"
"PSORS1C2","RCAN1","RASGRP3"
"TCF19","GRHL1","HIST1H4L"
"KRT20","WDR62","CACHD1"
"GDF3","PSORS1C2","PLEKHM2"
"SLC2A3","MGC27382","PVALB"
"PGC","HSPA12A","C1S"
"C2orf68","PTX3","KRCC1"
"TMEM150A","SAMD13","FAM171A2"
"USP39","BTBD9","ZNF208"
"VAMP5","ZNF487","TREM1"
"RGMA","SLC25A17","IL18RAP"
"TFF1","RRP1","TNFAIP2"
"KRT40","SH2D5","CCDC3"
"CARD10","GBP1","POM121L2"
"LGALS2","LRRC37A","FAM168B"
"MFNG","TMEM8B","TCN2"
"CSF2RB","CLIP4","CUBN"
"SNX33","KLHL21","FOXI3"
"TFF3","SLC35B2","GJA4"
"NHLRC1","BDKRB1","SCNN1D"
"ARNTL2","SRD5A2","WFDC6"
"SUPT6H","STRADA","GHITM"
"GFI1","RLN1","ZBTB40"
"CBR1","TECPR2","GRAMD4"
"RASSF4","CTSG","PPIE"
"HLA-A","BCAT1","CCDC107"
"HLA-L","SERINC2","MPDZ"
"TRIM15","RIPK3","HFM1"
"NOL12","CITED4","PRR3"
"PDPN","XDH","ICAM2"
"ZNF487","CCDC107","HYI"
"C1orf158","KLRD1","GABRD"
"NKAIN1","CCDC47","FKBP1B"
"GUCA1A","ITGB1BP1","LUZP1"
"CLEC4D","AMN","TBX4"
"ARMC4","MEX3B","KRTAP3-3"
"FAM168B","ZBTB42","TPM2"
"LOC401010","TMEM59","MFAP2"
"HNRNPA3P1","LOC401010","KCNK17"
"C6orf62","DDX24","LHX1"
"GMNN","STH","CYP4A11"
"KRTAP3-3","DIP2A","AFF2"
"PCSK6","XRCC3","FOXD3"
"ABCG1","POLDIP2","SERPINA10"
"ID4","CLEC7A","FAM65C"
"APOL6","PRR3","KCNG3"
"FBXO44","KIAA0754","GYS2"
"KRT14","KCNK5","MAGEA6"
"KRT16","BAIAP2L2","LCK"
"KRT17","EIF4A3","NOL12"
"HIST1H4F","MOCS1","FADS6"
"MYOM3","TMC3","CYP2C18"
"NIPAL3","LOC91450","CLDN14"
"DSCR9","FAM167B","IL1RL1"
"LIMS2","RUNX3","MEIG1"
"MYO7B","CCL19","TAS1R1"
"ARHGDIB","CD40","COLEC11"
"UBE4B","KRT24","CSH2"
"C1QC","MMP9","PDCD1LG2"
"ZBTB40","ASAP2","GUCA1A"
"ZNF485","MFNG","CRIP3"
"CXCL12","ATP6V1B1","HSPG2"
"BACE2","DHX40","NEUROD2"
"ZNRF3","PSD4","LOC389705"
"MAS1L","SLC25A33","CLEC9A"
"OR2H2","ABCG1","PCMT1"
"UBD","ARHGAP4","RPL31"
"RBP7","MPPED1","FNDC5"
"LRRC16A","SCN2A","CYB5R3"
"CORO6","GAPDHS","BSND"
"ALDH1A3","LTBR","LIPK"
"OR2W1","CHST8","GFI1"
"APOL2","HIST1H2AA","OR2S2"
"POM121L2","CCDC74B","ACVR1"
"IWS1","CHST15","HSPB7"
"TRNP1","GDF10","CCL21"
"ZDHHC18","ADAMTSL1","MIOX"
"C1QTNF6","IAH1","IFNA10"
"SSTR3","C10orf99","ALG6"
"HIST1H2AA","NOC2L","EMX2OS"
