"Gene"	"Gr1_F2..126..Sample..1"	"Gr1_F1..126..Sample..1"	"Gr1_F2..128C..Sample..4"	"Gr2_F2..128N..Control..781"	"Gr1_F1..128C..Sample..4"	"Gr2_F1..128N..Control..781"	"Gr1_F3..126..Sample..1"	"Gr2_F3..128N..Control..781"	"Gr1_F3..128C..Sample..4"
"GBF1"	6.46107011403305	7.18289089274548	6.31469652565629	6.75221336786514	7.04439411935845	6.47735352663456	7.46025109894385	6.02680005934372	7.45532722030456
"INTS1"	5.09592441999854	3.26303440583379	8.17492568250068	6.40769264866568	6.50143914515887	7.15279185163912	4.6667565918848	7.05528243550119	7.1053847492476
"DBN1"	8.60139939053183	8.30970371103028	8.80413102118332	7.44956137461324	8.58833986092348	6.84799690655495	6.82781902461732	6.6667565918848	7.1548181090521
"ARHGAP9"	7.59320435406329	7.43379405875492	7.20652601587743	5.94719858426206	6.90568784852686	8.13852780142227	7.98013957763916	6.22689381357139	7.80348537559595
"DPYSL2"	7.96000193206808	6.73606362787181	7.88813438835287	7.2278565730605	6.75355105460065	7.42374622911477	8.20114373205303	5.55765515472542	8.22110372536788
"SETD1A"	6.84172158112846	6.29278174922785	7.57364718749332	6.17392693199981	7.14465824283188	7.71836162613835	7.22496636500027	6.66106547980695	8.03507399737762
"CRK"	6.68369645430652	6.7045953476324	7.04875931191986	6.82908844400489	6.90448409790142	8.20261362014849	7.64889680647525	6.23457795978457	8.09592441999854
"MELK"	7.05528243550119	6.5668151540109	7.53294028837287	6.82527683005487	6.99322146736894	6.67383905599044	6.30742852519225	6.98754825895374	7.06501215043695
"RCOR1"	4.6667565918848	3.97269265400426	6.992088609014	7.28262513419167	6.68229237143083	6.67948009950545	4.76022094646651	6.89965902637744	7.47897180503294
"COG4"	7.62205181945638	6.87282875953489	7.35314682549808	7.82591279878497	6.40599235967584	6.97384083953315	7.87713072876566	6.69766263347052	7.52669484554198
"TONSL"	8.283088353024	8.35049724708413	8.11478344724985	7.3741700760685	8.16239132875691	7.49105137636412	9.0703893278914	6.77478705960117	8.94397991434374
"UBN2"	8.11217883372259	7	7.78724960846791	6.18189764310839	6.34163000932991	6.34695688937888	7.97384083953315	7.34961297182452	7.58044701959866
"INTS5"	7.48784003382305	7.36106648879432	6.94016675048282	7.03121873061072	6.59991284218713	7.16490692667569	7.73876783680019	6.92362461136832	7
"PDIA6"	6.55918586578773	6.28540221886225	7.49585502688717	5.877744249949	7.03562390973072	6.16992500144231	7.1106138055009	5.59693514238723	7.92837032301897
"OSBPL10"	8.43170652396602	8.20847824221171	8.50223511485679	7.12825215227739	8.45162325154114	6.99095486039699	8.28586454703185	6.20750245925879	8.3562318626554
"BCKDK"	6.90086680798075	6.83794324189103	8.39917109381982	7.95594045128948	8.3571120915057	7.91826695909256	6	6.94602898951548	7.24982454861618
"SYNCRIP"	7.26115467261557	7.03121873061072	7.07146236255662	6.96231765494231	6.8073549220576	6.60584986719498	6	6.74685018309805	5.91886323727459
"ULK1"	7.65391987311942	7.72246602447109	6.4757334309664	8.11997860965488	6.59245703726808	6.6409679104499	8.6614218327891	6.35579154675365	7.68720069465189
"CNOT4"	7.41616416473313	6.35579154675365	7.93251005337989	6.41278152533848	7.08214904135387	6.88508622529017	6.84799690655495	6.94836723158468	7.45532722030456
"PLEKHF2"	8.36806987653208	7.92718535782637	7.55688918972687	7.68369645430652	7.10328780841202	6.52825874275841	8.1568415245884	6.66533591718518	7.44128427192704
"DHX34"	4.60880924267552	5.60288440871842	6.4446008137115	6.07895134139482	6.73470962022584	7.23840473932508	4.86789646399265	7.0746766862945	6.01122725542325
"DDX17"	6.18982455888002	7.30924896081662	6.21140163741847	7.5337190711399	6.89602960297675	6.50620838930675	7.53915881110803	6.95070169008901	7.44542875923832
"SESN2"	6.88874324889826	5.99548451887751	7.68509917200661	6.02014657311178	6.992088609014	6.51569983828404	6.08321336824898	6.19770815795585	6.90929308582382
"LARS1"	7.05093696522523	6.63952159951083	6.87897051015108	5.90689059560852	6.4110872267986	7.56071495447448	6.58345891013077	6.05093696522523	6.19574129324645
"SNAP23"	6.66533591718518	7.57893871309339	5.52356195605701	7.20652601587743	6.62205181945638	6.31469652565629	5.49825086752783	6.15583017155653	4.97727992349992
"PRMT3"	4.74953426766926	5.20945336562895	6.69348695749933	7.28355142317431	6.70043971814109	8.25550073314839	5.84046323386954	6.00674683244058	7.10223819393074
"CEP89"	8.01680828768655	7.88691589584725	7.50064273606281	6.86666075081999	7.30012372456901	7.06608919045777	7.52356195605701	7.09064175191785	7.01346225980656
"MOCS2"	6.60139939053183	6.76022094646651	6.20163386116965	6.46597446450407	6.5077946401987	6.456149034648	6.84799690655495	6.17791779219584	6.48058827023386
"KIAA1958"	6.72519581722666	7.71699089440494	6.43629511983936	7.17192735435346	7.6724253419715	6.02901108665907	7.39145842004967	6.63226821549951	7.28447711781042
"TACC1"	6.50937914891469	6.70735913208088	6.53605290024021	6.51254295509686	6.74011804283313	6.94485844580754	6.60139939053183	5.91408609701272	6.62058641045188
"ZNF574"	8.85237344958027	6.63952159951083	8.01569380710515	7.09381367340273	5.65248649491816	5.77346892790519	8.37634248280467	6.49825086752783	7.37937836707126
"TRIP10"	6.13134253912326	6.02680005934372	6.91886323727459	7.50858711208948	6.86294724802092	7.55765515472542	7.01346225980656	6.81890167588564	7.95477792500507
"CLN6"	7.01569380710515	6.7045953476324	6.57288966842058	6.86418614465428	6.50143914515887	6.76022094646651	7.61102479730735	5.02236781302845	7.36018867006271
"ENTR1"	5.89965902637744	5.61176256006487	6.62497817956904	6.36632221424582	5.81762325751143	5.33985000288462	5.93310047493137	7.12722055048807	6.88752527074159
"MAP4K1"	7.73944309777245	5.81762325751143	8.4549161375148	7.78659636189081	6.64241277290506	7.5461227588578	7.18090370917938	6.4262647547021	7.19475685442225
"KAT5"	5.8923910259134	5.96347412397489	6.98868468677217	7.02236781302845	6.84046323386954	6.92837032301897	5.95884267524324	6.86542397831313	7.20750245925879
"TMCO1"	9.19303246844282	7.18487534290828	7.87344411251538	7.88508622529017	6.21529030565123	6.30012372456901	8.75655632252409	5.65248649491816	7.45697038112101
"AGGF1"	7.25077213159993	8.89299809305507	6.28540221886225	6.16591193893569	7.89905475619441	8.456149034648	9.98584193700334	6.17192735435346	8.85767003596247
"DCAF6"	7.41616416473313	5.90448409790142	7.73538678289534	7.75355105460065	6.10223819393074	6.03121873061072	6.6724253419715	6.6409679104499	7.17492568250068
"TLE3"	5.32553033156756	5.12515513132229	6.55918586578773	6.30012372456901	6.73470962022584	7.78463484555752	4.29278174922785	6.5894638929561	6.24031432933371
"BTF3"	5.00898878322726	6.05528243550119	6.33628338786443	6.68650052718322	7.07681559705083	7.64601861092535	5.19770815795585	7.20359271420771	6.29094040240368
"DUS3L"	6.10852445677817	7.22207035524718	6.10433665981474	6.51727569320958	7.30012372456901	6.10433665981474	6.2667865406949	6.69488019279919	6.30924896081662
"PLK4"	6.96462966672059	6.77741971551583	6.34872815423108	6.75488750216347	6.20359271420771	6.90929308582382	7.35226417325832	6.11478344724985	7.04657836662033
"COMMD10"	7.75288236627309	6.69766263347052	7.33181268381921	6.43629511983936	6.16390121381454	6.31831684133498	6.44294349584873	6.78267065867701	6.01346225980656
"CD19"	6.58496250072116	5.7839804136838	7.92303029826377	8.12463831417871	7.10747864662662	6.73199778664374	6.19179950106508	6.63517394667492	7.52199295640167
"HEATR1"	7.39059890555246	6.26865895502767	7.00112666545428	6.06824086131282	5.8703647195834	6.06177619758669	7.05311133645956	6.25738784269265	6.3037807481771
"DEF6"	7.15076274435542	6.64385618977472	6.48542682717024	6.71973105674985	6.01346225980656	6.8073549220576	7.10118781525974	6.61765111942733	6.35226417325832
"OTUB1"	6.94016675048282	6.29829173062012	7.3327079336406	4.99548451887751	6.83794324189103	6.54689445988764	5.76022094646651	6.59693514238723	6.64673869830785
"CNGB3"	7.69766263347052	7.38801728534513	7.86851392389546	7.82400405093315	7.56529252058102	5.60288440871842	7.59469782732387	6.08746284125034	7.80542144617176
