"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"71","BLM",-8.27567614528241,5.68285201827394,-47.4815632149789,1.71246010250083e-11,5.74240948107558e-10,15.7012078217809
"72","TRAPPC10",-7.60965700460533,4.99309312813003,-47.4357960236134,1.72631934295383e-11,5.74240948107558e-10,15.6966207286891
"73","CHMP4A",-7.40901528155107,5.14771627342789,-47.2701205885468,1.77754889577933e-11,5.76224379270186e-10,15.6799424610405
"74","KMT2A",-9.26239010170795,6.43705331127882,-47.2610544040165,1.78040100484316e-11,5.76224379270186e-10,15.6790264617635
"75","ELL3",-7.71128858445202,5.29514855588274,-47.1665392073961,1.81044119820779e-11,5.78134222627688e-10,15.6694565240597
"76","MAPRE1",-9.22175021564932,6.20946726728365,-47.004575380065,1.86324664605912e-11,5.81091834715683e-10,15.6529693086216
"77","CPSF4",-9.48212677953078,6.45616755799365,-46.9544556921066,1.87993474371317e-11,5.81091834715683e-10,15.647844727468
"78","MYBL2",-7.35632458520958,5.10520697145866,-46.9170718437965,1.89249115272749e-11,5.81091834715683e-10,15.6440153564251
"79","RPGR",-8.45452830350188,5.5793878938296,-46.440944723214,2.06089869159625e-11,6.17152276733745e-10,15.5947162633295
"80","WIPI2",-7.68973256757837,5.1200206955063,-46.4394072429241,2.0614689828267e-11,6.17152276733745e-10,15.5945554708242
"81","E2F7",-7.62298445651785,4.75231571926983,-46.0507831233152,2.21144925590006e-11,6.53879131837115e-10,15.5535773089935
"82","MCPH1",-9.54622564541085,6.65810402425309,-45.3017061463258,2.53626272499079e-11,7.30154225656126e-10,15.4726697274807
"83","RAD23B",-9.99085625060694,6.32587871794222,-45.1926323061166,2.58786726675499e-11,7.30154225656126e-10,15.4606729556182
"84","MAPK8IP3",-7.16009216132011,4.90425401476458,-45.1325345198351,2.6168017329229e-11,7.30154225656126e-10,15.4540391288943
"85","SLC12A4",-7.20047771133964,3.76494322961837,-45.1162452693025,2.62470651788559e-11,7.30154225656126e-10,15.4522381341165
"86","SMTN",-8.72648424162604,5.94372808043192,-45.0917723972511,2.63663288786022e-11,7.30154225656126e-10,15.4495299818835
"87","RAB11A",-9.11489046493956,6.21461571095895,-45.0597403954115,2.65233476543144e-11,7.30154225656126e-10,15.4459810746472
"88","UBXN6",-7.83055450223631,4.99821986609771,-44.2575119879106,3.08184323141332e-11,8.38523749375817e-10,15.3554982066708
"89","MIIP",-8.64207690338773,5.85675821275924,-44.1991297336498,3.1160172732546e-11,8.38523749375817e-10,15.3487911198034
"90","IKZF3",-7.12183443469868,4.82461301694323,-44.1008459156114,3.17450956545797e-11,8.4477226769687e-10,15.3374619615848
"91","HAUS6",-8.54331110511688,5.22790815697378,-43.8956364296299,3.30063963851883e-11,8.68684827939847e-10,15.3136524423329
"92","RABGEF1",-8.03334470795429,5.24194679950844,-43.3290530322956,3.67899323740523e-11,9.57737913433208e-10,15.2468084954051
