,norm_19-C,norm_1-1ug-B,norm_1-A,norm_1-1ug-A,norm_19-A,norm_1-C,norm_19-B,norm_1-B,norm_1-1ug-C
DRAP1,7.7414669864011465,7.800899899920305,7.794415866350106,7.6653359171851765,7.700439718141092,7.339850002884624,7.700439718141092,7.787902559391432,7.7073591320808825
RP2,7.693486957499325,7.6865005271832185,7.515699838284043,7.6653359171851765,7.531381460516312,8.076815597050832,7.434628227636725,7.614709844115208,7.643856189774724
POLE,7.303780748177103,7.199672344836364,7.20945336562895,7.434628227636725,7.266786540694901,7.6293566200796095,7.1799090900149345,7.348728154231077,7.294620748891627
MRPS36,5.4886435398537845,5.125155131322289,5.523561956057013,5.247927513443585,5.197708157955851,5.4822029262959555,5.439623137557117,5.532940288372874,5.789207575347344
TBC1D13,7.442943495848728,7.159871336778389,7.294620748891627,7.312882955284356,7.2384047393250786,7.339850002884624,7.2384047393250786,7.321928094887363,7.285402218862249
HUS1,7.714245517666122,7.491853096329675,7.721099188707186,7.614709844115208,7.584962500721156,7.643856189774724,7.584962500721156,7.672425341971495,7.754887502163468
USE1,6.572889668420581,6.6865005271832185,6.6865005271832185,6.5109619192773796,6.589463892956097,6.832890014164741,6.627898615871748,6.623515741490549,6.906890595608519
FLI1,6.4822029262959555,6.672425341971495,6.323730337521348,6.632268215499513,6.727920454563199,6.572889668420581,6.292781749227846,6.590961241342599,6.1001366712854495
SRP19,7.118941072723508,7.0,7.066089190457772,6.882643049361842,6.845490050944375,6.807354922057604,6.977279923499917,7.199672344836364,7.066089190457772
PRDM2,6.807354922057604,6.857980995127572,6.754887502163468,6.610286657081023,6.672425341971495,6.700439718141092,6.614709844115208,6.930737337562887,6.977279923499917
DTX1,7.539158811108031,7.599912842187128,7.3750394313469245,7.2761244052742375,7.409390936137702,7.554588851677638,7.409390936137702,7.507794640198696,7.499845887083206
DNAJC5,5.446256229889564,5.6117625600648715,5.640967910449898,5.281698250098829,5.608809242675524,5.145677455195635,5.554588851677638,5.74416109557041,5.572889668420581
KCTD10,3.678071905112638,3.5360529002402097,3.765534746362977,3.4462562298895643,3.7224660244710908,3.678071905112638,3.548436624696042,3.867896463992655,3.817623257511431
GNPNAT1,7.409390936137702,7.22881869049588,7.383704292474052,7.442943495848728,7.294620748891627,7.321928094887363,7.199672344836364,7.679480099505446,7.20945336562895
NR2C2AP,5.638073837180719,5.700439718141092,5.727920454563199,5.894817763307944,5.749534267669262,5.277984747299765,5.617651119427331,5.791814071161826,5.697662633470518
H7BYZ3_1135,6.672425341971495,6.727920454563199,6.930737337562887,6.965784284662087,6.845490050944375,7.219168520462161,7.066089190457772,6.894817763307944,7.03342300153745
PIAS4,5.916476644437717,5.802193216941825,6.008988783227255,5.970393537914677,5.92837032301897,4.9259994185562235,5.877744249949002,6.098032082960526,5.889960199658641
TTC9C,6.4212232992251375,6.518849828707692,6.633721812641012,6.504620392403552,6.388878338811989,6.343407822297814,6.376776571882982,6.478971805032942,6.464341532761104
ALG6,7.539158811108031,7.539158811108031,7.515699838284043,7.539158811108031,7.539158811108031,7.622051819456376,7.434628227636725,7.700439718141092,7.577428828035749
MIEN1,6.234577959784565,6.714245517666122,6.820178962415188,6.870364719583405,7.011227255423254,5.259272487037594,6.727920454563199,6.820178962415188,6.714245517666122
PPP1R14B,6.392317422778761,6.290940402403678,6.475733430966398,6.412781525338476,6.327328082629952,6.672425341971495,6.444600813711502,6.139551352398794,6.185866545311334
TRMU,5.318316841334983,5.247927513443585,4.84799690655495,5.4822029262959555,5.087462841250339,5.9140860970127225,5.145677455195635,5.232660756790275,5.205548911173033
ASAH1,7.108524456778169,7.129283016944966,7.05528243550119,6.9886846867721655,7.05528243550119,7.219168520462161,7.044394119358453,7.139551352398794,7.108524456778169
TBC1D10C,3.7224660244710908,4.070389327891398,4.20945336562895,4.20945336562895,4.145677455195635,4.459431618637297,4.177917792195843,4.232660756790275,4.153805336079036
TMEM160,6.104336659814735,6.22881869049588,6.141596278383818,6.063934305754099,6.053111336459563,5.930737337562887,6.022367813028454,6.361066488794321,6.135452784185173
OFD1,5.4950555283680185,5.539158811108031,5.581953750848818,5.620586410451877,5.60584986719498,4.661065479806948,5.368069876532083,5.733354340613827,5.485426827170242
BRMS1,7.247927513443585,7.03342300153745,7.149747119504682,7.189824558880018,7.312882955284356,7.348728154231077,7.2384047393250786,7.491853096329675,7.294620748891627
CCDC82,4.82781902461732,4.738767836800191,4.74416109557041,4.832890014164741,4.498250867527825,4.247927513443585,4.661065479806948,4.954196310386875,5.141596278383818
BCL11A,4.491853096329675,4.78135971352466,4.185866545311334,4.19377174339668,4.300123724569014,4.478971805032942,4.38543103719352,4.478971805032942,4.666756591884804
GLRX,6.213347281733441,6.253611151947168,6.298291730620124,6.253611151947168,6.22881869049588,6.537606691495291,6.106432077816929,6.020146573111776,6.283551423174307
USP6NL,5.19377174339668,5.189824558880018,5.2630344058337934,5.083213368248981,5.0574502721839,4.9954845188775066,4.902073579310743,5.145677455195635,5.24031432933371
COMP,4.812498225333564,5.017921907997263,4.536052900240209,5.145677455195635,5.066089190457772,5.145677455195635,4.542258049766918,4.902073579310743,4.963474123974886
DAG1,5.173926931999809,5.141596278383818,5.346956889378885,4.986410935252045,5.205548911173033,5.266786540694901,4.940166750482817,5.217230716220669,4.963474123974886
NRDE2,5.889960199658641,5.993221467368938,5.82781902461732,6.110613805500896,6.1838834590322325,6.104336659814735,5.797012977836145,5.979568100095187,5.87528859822269
MRPL54,3.4724877714627436,4.008988783227255,4.0,3.786596361890807,3.9818526532897405,4.419538891513785,3.9164766444377164,3.9818526532897405,3.6205864104518777
SLAIN2,4.371558862611963,4.357552004618084,4.452858964713811,4.529820946528695,4.392317422778761,4.584962500721156,4.161887682376894,4.145677455195635,4.37851162325373
LDLR,3.0,2.4329594072761065,2.7224660244710908,2.8278190246173196,3.0531113364595623,3.655351828612554,2.700439718141092,3.070389327891398,3.070389327891398
ENO1,13.621250608337666,13.69924709450952,13.69924709450952,13.793704903944487,13.666334975076676,13.526621496247854,13.48947168700768,13.853407031505254,13.586487982625991
DDX17,11.316847183602473,11.38316426063511,11.404609397837712,11.430975172588068,11.305491792110685,11.217351905270334,11.355901638328417,11.393926675640417,11.38316426063511
P4HB,11.90350531042388,12.123151432773575,11.98049663618346,11.892163309861965,11.884552133987235,11.857592285697526,11.895953892812168,11.97333862080036,12.087131301540529
RPLP2,10.399811959325685,10.253847484987404,10.561287945164828,10.30035256032822,10.482807956726667,10.653740778706569,10.512740462803498,10.356451970221755,10.790348496751914
RBM14,10.689124404913258,10.854089179870574,10.773963368433558,10.740624044489413,10.635718120331047,10.617467465294196,10.732167425663384,10.773963368433558,10.846273911349906
HNRNPDL,10.861862340059151,10.782179193831208,11.070791809423062,10.732167425663384,10.838416075797337,10.944712061043486,11.253256579781153,10.740624044489413,11.029977346589579
PFKP,10.43149760425805,10.512740462803498,10.492854620174748,10.59898297103609,10.389093521904474,10.117643101389092,10.421012855779226,10.580258567499788,10.44190670454224
HSD17B4,11.009128789539256,11.129926933510394,10.995060467032719,11.016111838220512,10.907641803665527,10.861862340059151,10.907641803665527,11.016111838220512,11.077483356859508
IL16,9.634811050171718,9.939579214314692,9.945443836377912,9.823367240046235,9.727920454563199,9.588714635582264,9.800899899920305,9.802516365121223,9.965784284662087
RNH1,9.543031820255237,9.59618975614441,9.76983784362944,9.682994583681683,9.64565843240871,9.457380879072534,9.821773981970567,9.721099188707186,9.679480099505446
