"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"ZC3H7B"	7.864186	7.741467	7.839204	7.820179	7.754888	7.507795	7.965784	7.707359	7.826548
"RBM45"	6.97728	6.882643	6.686501	6.83289	6.882643	6.72792	6.714246	6.988685	6.882643
"CYB5R4"	5.689299	6.169925	6.153805	5.885086	6.048759	5.887525	6.083213	5.72792	6.205549
"POLR3B"	7.139551	7.139551	7.033423	7.087463	7.179909	6.754888	7.076816	6.97728	7.159871
"CCDC51"	6.422906	6.311067	6.177918	6.137504	6.33985	6.100137	5.9331	6.179909	6.316508
"GINS2"	6.906891	7.076816	6.741467	7.108524	7.076816	6.394034	6.581954	6.988685	6.882643
"UQCC1"	6.794416	6.768184	6.61471	6.930737	6.768184	5.972693	6.741467	6.72792	6.646739
"SEC61B"	7.33985	7.741467	7.330917	7.312883	7.33985	7.179909	7.383704	7.189825	7.475733
"UXT"	7.636625	7.72792	7.475733	7.442943	7.686501	7.409391	7.507795	7.592457	7.539159
"ZNF609"	6.536053	6.3733	6.474112	6.636625	6.490249	6.332708	6.407693	6.307429	6.569856
"USP19"	6.807355	6.72792	6.70044	6.714246	6.820179	6.658211	6.942515	6.672425	6.686501
"THEM6"	6.255501	6.141596	6.006747	6.048759	6.165912	5.61471	5.872829	6.350497	6.1918
"STARD3NL"	5.36807	5.375039	5.232661	5.361066	5.318317	4.69488	4.596935	5.161888	5.409391
"MBP"	3.990955	3.925999	3.877744	3.887525	3.944858	0	4.087463	3.807355	4.419539
"NUFIP1"	5.285402	4.852998	5.157852	4.882643	5.189825	4.807355	5.022368	5.035624	4.940167
"TPMT"	6.287251	5.904484	5.78398	6.040016	5.995485	5.842979	5.765535	5.921246	5.872829
"MTFR1"	5.228819	4.89724	4.602884	4.602884	4.760221	4.655352	4.217231	4.419539	4.817623
"APP"	3.655352	3.857981	3.263034	3.472488	3.350497	3.459432	3.596935	3.944858	3.817623
"HIST1H4A"	13.26312	13.31642	13.0432	13.04832	13.21386	12.89007	13.09193	13.15181	13.15181
"DNMT1"	11.78994	11.57507	11.62617	11.7275	11.82217	11.49735	11.74441	11.74861	11.55603
"RPS8"	10.95928	10.86186	10.79035	10.83842	11.01611	10.68912	10.91513	10.86959	10.75739
"BTF3"	10.39981	10.06474	10.16867	10.11764	10.34541	9.758223	10.34541	10.21796	10.11764
"RPSA"	10.1046	10.06474	10.25385	10.14338	10.24198	10.06474	10.42101	10.00983	10.35645
"CD74"	10.69784	10.61747	10.54206	10.48281	10.7065	10.51274	10.74062	10.53236	10.64476
"EHD4"	10.4625	10.34541	10.26562	10.47269	10.44191	10.07815	10.31175	10.48281	10.21796
"RPL17-C18ORF32"	10.64476	10.58965	10.4315	10.4625	10.59898	10.24198	10.54206	10.5708	10.27729
"PRPF3"	10.1046	9.920353	9.859535	9.948367	10.02375	9.79279	9.967226	9.967226	9.722808
"RPL14"	9.924813	9.851749	9.776433	9.805744	9.995767	9.424166	9.945444	9.921841	9.736402
"PSPC1"	9.981567	9.951285	9.805744	9.874981	9.967226	9.573647	9.897845	9.935165	9.83289
"MRTO4"	9.047124	8.873444	8.816984	8.870365	8.97728	8.447083	8.982994	8.968667	8.83605
"ACAT2"	9.731319	9.668885	9.558421	9.763212	9.741467	9.219169	9.631177	9.702173	9.523562
"LARP4"	9.453271	9.344296	9.252665	9.211888	9.445015	9.276124	9.442943	9.383704	9.187352
"PPT1"	8.909893	8.945444	8.741467	8.985842	9.108524	8.72792	8.78136	9.011227	8.696968
"NDUFAF2"	8.405141	8.459432	8.199672	8.357552	8.375039	7.707359	8.276124	8.495855	8.214319
"TXLNG"	8.957102	8.764872	8.787903	8.823367	8.98014	8.558421	8.861087	8.994353	8.807355
"TRMT10C"	7.839204	7.761551	7.665336	7.84549	7.857981	7.400879	7.761551	7.741467	7.67948
"PPP3CC"	8.375039	8.262095	8.204571	8.321928	8.383704	7.882643	8.124121	8.495855	8.179909
"ATP5I"	7.531381	7.330917	7.33985	7.507795	7.499846	7.189825	7.375039	7.375039	7.629357
"SETD3"	6.882643	6.942515	6.651052	6.882643	6.820179	6.610287	6.78136	6.988685	6.632268
"MRPS6"	8.370687	8.308339	8.330917	8.23362	8.471675	8.092757	8.495855	8.303781	8.317413
"TRAPPC8"	7.906891	7.807355	7.60733	7.876517	7.78136	7.499846	7.569856	7.930737	7.84549
"PANK4"	9.074141	8.968667	8.857981	8.864186	8.965784	8.888743	9.041659	8.867279	8.909893
"PRKAG1"	8.483816	8.531381	8.257388	8.379378	8.438792	8.266787	8.375039	8.422065	8.405141
"SGPP1"	8.442943	8.417853	8.238405	8.204571	8.409391	7.965784	8.308339	8.285402	8.366322
"TFAP4"	7.960002	7.864186	7.774787	7.84549	7.948367	7.321928	7.948367	7.870365	7.693487
"AURKA"	8.625709	8.228819	8.228819	8.276124	8.430453	8.257388	8.317413	8.294621	8.243174
"MRPS18B"	7.294621	7.033423	7.098032	7.129283	7.266787	6.965784	7.149747	7.303781	7.033423
"ATAD1"	6.894818	6.930737	6.820179	6.83289	6.70044	6.714246	6.954196	6.70044	7.033423
"SYPL1"	7.076816	7.076816	6.906891	7.209453	7.129283	6.452859	6.930737	7.247928	7.066089
"UBL5"	8.689998	8.396605	8.672425	8.640245	8.876517	8.703904	8.897845	8.8009	8.451211
"ATL3"	6.354029	6.381975	6.503031	6.33985	6.346957	6.145677	6.409391	6.1918	6.482203
"RGS14"	6.954196	6.918863	6.70044	6.857981	6.870365	6.029011	6.794416	6.794416	6.906891
"KIAA0922"	7.774787	7.539159	7.584963	7.426265	7.741467	6.930737	7.761551	7.643856	7.774787
"AAR2"	7.149747	7	6.988685	6.882643	7.219169	6.380245	6.930737	6.97728	6.988685
