Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
GPCPD1	6.744161096	8.633358551	8.116343961	8.500642736	6.960001932	8.294161219	8.478162893	7.875288598	6.798309782
RNF34	7.36719631	7.532161085	7.392317423	7.642412773	6.753551055	7.491051376	7.037821465	7.933690655	6.769507291
HIVEP2	7.682994584	7.44625623	7.178913785	7.448735798	7.50779464	7.01234519	7.831623937	7.905086099	7.661778098
C19orf47	6.972692654	7.87835751	7.087462841	7.413627929	6.761551232	7.875902903	8.226893814	7.862327401	5.752213368
ASF1B	7.046578367	6.876516947	8.464341533	7.449561375	6.845490051	7.472487771	6.856736756	7.653919873	7.754219433
CEP85	7.433794059	7.355791547	8.188341576	7.273329387	7.675957033	8.17292749	7.899054756	8.030115331	7.725195817
EEPD1	7.256444596	8.87958325	8.747185967	9.549977143	8.680886921	8.115823977	8.471675214	8.258330473	9.375473913
RUNX3	8.103287808	8.759555343	9.468624043	9.167919866	8.775116404	8.992938336	8.882031608	7.886306263	9.212374788
GON4L	9.350276229	9.449561375	9.785615937	9.718704106	9.455738186	9.651410526	9.24697806	7.806066226	9.847213982
STRN3	9.235056863	7.45532722	9.009828617	7.966361247	7.454504938	8.497452696	9.112178834	7.775445674	8.035073997
PPIL4	6.656782364	7.722466024	7.825912799	7.87897051	8.273795599	7.677367292	6.207502459	7.889351853	8.317864798
MAP2	6.383704292	7.663202279	6.43629512	7.438791853	7.425425735	6.921245889	7.937226674	7.888134388	6.965784285
