Gene,norm_19-A,norm_19-C,norm_1-1ug-B,norm_19-B,norm_1-B,norm_1-C,norm_1-1ug-C,norm_1-1ug-A,norm_1-A
POLR1C,8.285402218862249,8.339850002884624,8.294620748891628,8.214319120800766,8.285402218862249,8.169925001442312,8.280770770130603,8.247927513443585,8.266786540694902
PEG10,7.7073591320808825,7.768184324776926,7.60733031374961,7.643856189774724,7.693486957499325,8.174925682500678,7.693486957499325,7.7414669864011465,7.599912842187128
CKMT1A,8.581200581924957,8.689997971419446,8.774787059601174,8.43879185257826,8.721099188707186,8.330916878114618,8.611024797307353,8.515699838284043,8.558420713268664
STX7,9.566054038171092,9.656424863277781,9.640244936222345,9.38586240064146,9.684748620421626,9.544964432789238,9.667111542075027,9.537218400538595,9.509775004326936
SEPHS1,9.60177078840771,9.567956075415466,9.590587049915035,9.535275376620802,9.552669097514272,9.449148645375436,9.434628227636725,9.552669097514272,9.566054038171092
TUBG1,8.727920454563199,8.734709620225837,8.682994583681683,8.839203788096944,8.717676423066395,8.714245517666123,8.768184324776927,8.79766152585376,8.879583249612784
SSBP1,9.92035285541508,9.954196310386875,10.051208940914766,9.92035285541508,9.900866807980748,9.554588851677638,10.064742764750257,9.870364719583405,9.965784284662087
ZC3H14,8.247927513443585,8.199672344836364,8.184875342908283,8.087462841250339,8.266786540694902,8.060695931687555,8.169925001442312,8.092757140919852,8.179909090014934
ACAD9,9.594324603924848,9.625708843064466,9.691743519171276,9.535275376620802,9.741466986401146,9.339850002884624,9.590587049915035,9.741466986401146,9.577428828035748
RAB21,8.933690654952233,8.927777962082342,8.968666793195208,8.870364719583405,8.991521846075695,8.90388184573618,8.92184093707449,8.900866807980748,8.876516946565
EEA1,9.162391328756906,9.147204924942228,9.157346935362844,8.971543553950772,9.207014320177532,9.131856960608793,9.18239435340453,9.057991722759176,9.06339508128851
EBNA1BP2,8.980139577639157,8.991521846075695,8.971543553950772,8.927777962082342,8.991521846075695,8.707359132080883,8.988684686772165,8.861086905995395,8.960001932068081
SEPT1,8.584962500721156,8.562242424221072,8.519636252843213,8.507794640198696,8.546894459887637,8.422064766172813,8.543031820255237,8.67595703294175,8.573647187493322
RBM4,8.915879378835774,8.7714894695006,8.839203788096944,9.152284842306582,8.861086905995395,8.89178370321831,9.147204924942228,8.939579214314692,9.276124405274238
PPP1R2,8.870364719583405,8.873444112515376,8.842350343413807,8.79766152585376,8.951284714966972,8.375039431346925,8.668884984266247,8.823367240046235,8.848622940429339
ARFGAP1,9.044394119358454,8.977279923499916,9.192292814470767,9.011227255423254,9.066089190457772,8.900866807980748,9.149747119504681,9.079484783826816,8.994353436858859
RPL38,8.266786540694902,8.103287808412022,8.164906926675688,8.238404739325079,8.233619676759702,7.658211482751795,8.199672344836364,8.092757140919852,8.224001674198105
GYG1,9.105908508571158,9.14210705730255,8.968666793195208,9.079484783826816,9.179909090014934,8.734709620225837,8.861086905995395,9.375039431346925,9.08214904135387
GNAS,7.882643049361842,7.78135971352466,7.906890595608519,7.894817763307944,7.839203788096944,7.857980995127572,7.94251450533924,8.016808287686555,7.965784284662087
PI4K2A,8.867278739709661,8.885696373339394,9.0,8.92481250360578,8.867278739709661,8.758223214726724,9.044394119358454,8.930737337562887,8.909893083770042
PKN1,7.924812503605781,7.882643049361842,7.768184324776926,7.820178962415188,7.813781191217037,7.882643049361842,7.754887502163468,7.826548487290915,7.86418614465428
IMPDH1,7.813781191217037,7.870364719583405,7.888743248898259,7.894817763307944,7.86418614465428,7.400879436282184,7.936637939002571,7.813781191217037,7.851749041416057
GTF2E2,9.333155350310616,9.388017285345136,9.310612781659529,9.344295907915816,9.321928094887362,9.177419537989236,9.321928094887362,9.287712379549449,9.419960177847889
NECAP2,8.614709844115207,8.573647187493322,8.59618975614441,8.581200581924957,8.562242424221072,8.483815777264256,8.515699838284043,8.63662462054365,8.59245703726808
TIA1,7.679480099505446,7.569855608330948,7.7615512324444795,7.467605550082998,7.584962500721156,6.595443984589479,7.475733430966398,7.7073591320808825,7.554588851677638
SNRPGP15,8.467605550082997,8.308339030139408,8.39231742277876,8.330916878114618,8.308339030139408,8.233619676759702,8.335390354693924,8.467605550082997,8.388017285345136
