"","feature","sample","value","view"
"283","MUC1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"284","PKLR","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"285","POU5F1P4","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"286","RP11-29H23.7","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"287","RP11-29H23.6","1% O2, CyA-",0,"Transcriptomics"
"288","RP11-29H23.4","1% O2, CyA-",0,"Transcriptomics"
"289","RP11-101O6.2","1% O2, CyA-",0,"Transcriptomics"
"290","SNORA80E","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"291","LMNA","1% O2, CyA-",0.393181906361246,"Transcriptomics"
"292","BGLAP","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"293","RP11-98G7.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"294","CRABP2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"295","RP11-66D17.5","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"296","RP11-110J1.5","1% O2, CyA-",0,"Transcriptomics"
"297","RP11-367J7.4","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"298","RP11-404O13.4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"299","CD1A","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"300","DUSP23","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"301","NHLH1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"302","RP11-404F10.1","1% O2, CyA-",0,"Transcriptomics"
"303","RP11-312J18.7","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"304","ADAMTS4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"305","RP11-122G18.6","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"306","RP11-5K23.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"307","FCGR2C","1% O2, CyA-",0,"Transcriptomics"
"308","FCGR2B","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"309","RPL31P11","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"310","RP11-474I16.8","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"311","RP11-130F5.1","1% O2, CyA-",0,"Transcriptomics"
"312","RP11-359K18.4","1% O2, CyA-",0,"Transcriptomics"
"313","PBX1","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"314","RP11-466F5.8","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"315","RP11-525G13.2","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"316","RP1-9E21.5","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"317","RP11-277B15.1","1% O2, CyA-",0.393181906361246,"Transcriptomics"
"318","RP11-277B15.3","1% O2, CyA-",0,"Transcriptomics"
"319","RP3-455J7.3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"320","ADCY10","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"321","RP1-313L4.4","1% O2, CyA-",0,"Transcriptomics"
"322","TBX19","1% O2, CyA-",0.393181906361246,"Transcriptomics"
"323","RP5-1059H15.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"324","RP5-968D22.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"325","RP11-375F2.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"326","CCDC181","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"327","RP1-206D15.5","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"328","RN7SL333P","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"329","RP11-576I22.1","1% O2, CyA-",0,"Transcriptomics"
"330","MROH9","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"331","FMO3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"332","FMO2","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"333","RP3-454G6.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"334","DNM3","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"335","RP11-296O14.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"336","RN7SKP160","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"337","SERPINC1","1% O2, CyA-",0,"Transcriptomics"
"338","GPR52","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"339","RP11-64I24.2","1% O2, CyA-",0,"Transcriptomics"
"340","RP11-492I21.1","1% O2, CyA-",0.257981171499655,"Transcriptomics"
